id,title,time,lat,lng,decreepart
9467283,В Санкт-Петербурге по «горячим» следам полицией раскрыта кража у пассажирки метро,2017-02-15 09:59:00,59.925408,30.318152,ч.2 ст.158 (Кража); Уголовный Кодекс; Россия
9466623,В Ленинградской области полиция расследует дерзкое ограбление 89-летнего местного жителя,2017-02-15 08:49:00,60.07623830000001,30.121383,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
9460841,"Полиция задержала двух граждан, подозреваемых в незаконном обороте наркотиков в особо крупном размере",2017-02-14 12:57:00,60.07623830000001,30.121383,ч.3; Уголовный Кодекс; Россия
9458856,В Приморском районе Петербурга задержан подозреваемый в «телефоном» терроризме,2017-02-14 10:04:00,60.07623830000001,30.121383,ч.1 ст.20.21 (Появление в Общественных Местах в Состоянии Опьянения); Кодекс Об Административных Правонарушениях; Россия
9452736,"В Адмиралтейском районе раскрыто убийство студента, труп которого был обнаружен в коммунальной квартире",2017-02-13 12:58:00,59.927163,30.3166514,ч.1 ст.105 (Убийство); Уголовный Кодекс; Россия
9450322,В Выборге возбуждено уголовное дело в отношении юного автоугонщика,2017-02-13 09:40:00,60.07623830000001,30.121383,ч.3 ст.30; Уголовный Кодекс; Россия
9449708,В Невском районе Санкт-Петербурга полицией раскрыты два грабежа в отношении прохожих,2017-02-13 09:20:00,59.86326399999999,30.498541,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
9449681,"Во Фрунзенском районе Петербурга задержан хулиган, повредивший иномарку местной жительницы",2017-02-13 09:18:00,59.85373599999999,30.3683634,ч.2 ст.167 (Умышленное Уничтожение Или Повреждение Имущества); Уголовный Кодекс; Россия
9443816,"В Центральном районе задержан подозреваемый, избивший своего знакомого",2017-02-11 09:32:00,59.9266949,30.3731629,ч.1 ст.111 (Умышленное Причинение Тяжкого Вреда Здоровью); Уголовный Кодекс; Россия
9436522,В Центральном районе Петербурга раскрыт грабеж в отношении несовершеннолетнего,2017-02-10 09:23:00,59.92438000000001,30.343219,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
9436440,Оперативники уголовного розыска задержали подозреваемых в ограблении магазина мясных товаров,2017-02-10 09:18:00,60.0545717,30.3293232,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
9436357,"Полиция Невского района разыскивает злоумышленников, напавших на таксиста",2017-02-10 09:12:00,59.8650547,30.4214587,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9436316,В Светогорске раскрыто разбойное нападение на девочку-подростка,2017-02-10 09:05:00,60.07623830000001,30.121383,ч.1 ст.162 (Разбой); Уголовный Кодекс; Россия
9430233,В Петербурге задержан мужчина с крупной партией наркотиков,2017-02-09 12:23:00,59.9119882,30.446392,ч.2 ст.228 (Хранение Наркотических Средств в Крупном Размере); Уголовный Кодекс; Россия
9428305,В Волховском районе Ленинградской области раскрыто жестокое убийство мужчины,2017-02-09 09:46:00,60.07623830000001,30.121383,ч.1 ст.105; Уголовный Кодекс; Россия
9428021,В Центральном районе Санкт-Петербурга пресечена незаконная продажа сим-карт,2017-02-09 09:21:00,59.944559,30.359799,ст.13.29 (Заключение Договора Об Оказании Услуг Подвижной Радиотелефонной Связи Неуполномоченным Лицом); Кодекс Об Административных Правонарушениях; Россия
9424875,В Калининском районе Петербурга закрыт притон для занятий проституцией,2017-02-08 16:34:00,60.00390849999999,30.3976813,ст.6.11 (Занятие Проституцией); Кодекс Об Административных Правонарушениях; Россия
9423280,В Кронштадте полицейские задержали троих автоугонщиков,2017-02-08 14:22:00,60.011504,29.723529,ч.3 ст.158 (Кража); Уголовный Кодекс; Россия
9422890,В Тихвине нетрезвая автоледи привлечена к уголовной ответственности,2017-02-08 13:53:00,60.07623830000001,30.121383,ст.264.1; Уголовный Кодекс; Россия
9420710,В Петродворцовом районе Санкт-Петербурга задержан автоугонщик,2017-02-08 11:44:00,59.8498768,30.0517238,ч.1 ст.166 (Неправомерное Завладение Транспортным Средством); Уголовный Кодекс; Россия
9419095,"В Калининском районе Петербурга разыскиваются преступники, совершившие дерзкий квартирный грабеж",2017-02-08 09:52:00,60.07623830000001,30.121383,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
9411923,В Петроградском районе раскрыты две кражи с закрытой парковки,2017-02-07 11:27:00,59.972452,30.296656,ч.1 ст.158; Уголовный Кодекс; Россия
9410855,Возбуждено уголовное дело по факту вовлечения несовершеннолетнего в совершение квартирной кражи,2017-02-07 09:59:00,60.005316,30.418217,ч.2 ст.158 (Кража); Уголовный Кодекс; Россия
9410197,"В Невском районе сотрудники полиции задержали мужчину, подозреваемого в грабеже",2017-02-07 09:01:00,59.84112399999999,30.488936,п.А ч.2 ст.161; Уголовный Кодекс; Россия
9410190,В Петербурге сотрудники полиции разыскивают подозреваемого в разбойном нападении,2017-02-07 09:00:00,60.00121799999999,30.3884581,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9403493,В Курортном районе Петербурга патрульные полицейские задержали гражданина с наркотиками,2017-02-06 11:05:00,60.1967148,29.7006916,ч.1 ст.228 (Незаконное Хранение Наркотических Средств и Психотропных Веществ); Уголовный Кодекс; Россия
9402315,В Светлогорске разыскивается подозреваемый в разбойном нападении на женщину,2017-02-06 09:48:00,60.07623830000001,30.121383,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9402267,В Приозерском районе проводится служебная проверка по факту причинения телесных повреждений сотруднику полиции,2017-02-06 09:43:00,60.07623830000001,30.121383,ч.1 ст.264; Уголовный Кодекс; Россия
9401705,В Ленинградской области устанавливаются обстоятельства пропажи фургона с олениной,2017-02-06 09:16:00,60.07623830000001,30.121383,ч.4 ст.158 (Кража); Уголовный Кодекс; Россия
9401462,В Московском районе Петербурга разыскивается подозреваемый в разбойном нападении на магазин,2017-02-06 08:54:00,59.9059034,30.3188866,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9399135,В Петродворцовом районе задержан подозреваемый в причинении тяжкого вреда здоровью,2017-02-05 10:56:00,59.8512137,30.0187254,ч.2 ст.111 (Умышленное Причинение Тяжкого Вреда Здоровью); Уголовный Кодекс; Россия
9399055,В Центральном районе устанавливаются обстоятельства ранения двоих граждан,2017-02-05 10:34:00,59.93580900000001,30.312622,ч.1 ст.213 (Хулиганство); Уголовный Кодекс; Россия
9392718,В Петербурге сотрудники ГАИ обнаружили в багажнике остановленной машины крупную партию марихуаны,2017-02-03 15:15:00,60.07623830000001,30.121383,ст.12.6 (Нарушение Правил Применения Ремней Безопасности Или Мотошлемов); Кодекс Об Административных Правонарушениях; Россия
9389556,В Выборгском районе Петербурга раскрыто ограбление салона сотовой связи,2017-02-03 10:01:00,60.0384275,30.3463,ч.3 ст.161 (Грабеж); Уголовный Кодекс; Россия
9389381,По «горячим» следам полицейские задержали подростка за жестокое нападение на петербурженку,2017-02-03 09:41:00,59.85792199999999,30.313467,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9387178,В Петродворцовом районе Санкт-Петербурга задержана подозреваемая в похищении ребенка,2017-02-02 19:01:00,59.85463470000001,30.0212893,п.Д ч.2 ст.126 (Похищение Человека); Уголовный Кодекс; Россия
9383250,В Московском районе Петербурга ликвидирован притон по оказанию интим-услуг,2017-02-02 12:15:00,59.8500993,30.3250107,ст.6.11 (Занятие Проституцией); Кодекс Об Административных Правонарушениях; Россия
9381900,В Петербурге полицией пресечена незаконная продажа табачной продукции,2017-02-02 10:11:00,59.998986,30.3654571,"ст.14.2 (Незаконная Продажа Товаров, Свободная Реализация Которых Запрещена Или Ограничена); Кодекс Об Административных Правонарушениях; Россия"
9381612,В Центральном районе раскрыта кража смартфона у посетительницы кафе,2017-02-02 09:42:00,59.935383,30.359796,ч.2 ст.158 (Кража); Уголовный Кодекс; Россия
9376300,Сотрудники полиции задержали подозреваемых в похищении человека с парковки торгового центра,2017-02-01 12:45:00,59.863927,30.460133,ч.2 ст.126 (Похищение Человека); Уголовный Кодекс; Россия
9376146,Четверть тонны алкоголя изъята из незаконного оборота в Парголово,2017-02-01 12:39:00,60.1093381,30.2657796,ч.2 ст.14.1 (Осуществление Предпринимательской Деятельности Без Государственной Регистрации Или Без Специального Разрешения...); Кодекс Об Административных Правонарушениях; Россия
9370260,В Тихвине по «горячим» следам задержали подозреваемого в краже двух планшетов,2017-01-31 16:22:00,60.07623830000001,30.121383,ч.2 ст.158 (Кража); Уголовный Кодекс; Россия
